National Institute of Technology;Area in Acres
"National Institute of Technology, Andhra Pradesh";"150"
"National Institute of Technology, Arunachal Pradesh";350
"National Institute of Technology, Calicut";300
"National Institute of Technology, Delhi";55
"National Institute of Technology, Durgapur";187
"National Institute of Technology, Goa";300
"National Institute of Technology, Hamirpur";320
"National Institute of Technology, Jaipur";317
"National Institute of Technology, Jalandhar";154
"National Institute of Technology, Jamshedpur";341
"National Institute of Technology, Kurukshetra";300
"National Institute of Technology, Manipur";300
"National Institute of Technology, Meghalaya";300
"National Institute of Technology, Mizoram";190
"National Institute of Technology, Nagaland";300
"National Institute of Technology, Patna";50
"National Institute of Technology, Puducherry";258
"National Institute of Technology, Raipur";100
"National Institute of Technology, Rourkela";647
"National Institute of Technology, Sikkim";300
"National Institute of Technology, Silchar";600
"National Institute of Technology, Srinagar";171
"National Institute of Technology, Surathkal";295
"National Institute of Technology, Tiruchirappalli";800
"National Institute of Technology, Uttarakhand";165
"National Institute of Technology, Warangal";256
"Sardar Vallabhbhai National Institute of Technology, Surat";300
"Visvesvaraya National Institute of Technology, Nagpur";225
"National Institute of Technology, Hazartbal, Srinagar";250
"National Institute of Technology, Andhra Pradesh Tadepalligudem";178
